"Treatment.Act","BA","Recovery","cp.requirements","low","med","high"
"Control",40,NA,6,469.730723635771,861.340331186481,1565.07172806439
"Control",40.1,NA,6,469.9680705979,860.791599393409,1562.6263008075
"Control",40.2,NA,6,470.089091025806,860.332282322916,1560.18469218744
"Control",40.3,NA,6,470.214393459634,859.824338357285,1557.75307427031
"Control",40.4,NA,6,470.501322938511,859.299039957263,1555.2997791779
"Control",40.5,NA,6,470.840824661258,858.814779180121,1552.69857425982
"Control",40.6,NA,6,471.182420967478,858.301524935892,1550.19548200003
"Control",40.7,NA,6,471.484764560397,857.84784966341,1547.35123553058
"Control",40.8,NA,6,471.697100508487,857.246395967885,1544.52912324031
"Control",40.9,NA,6,471.999894086519,856.677411277393,1541.98931171008
"Control",41,NA,6,472.327927921855,856.159921492203,1539.77238449531
"Control",41.1,NA,6,472.600940159249,855.730922992141,1537.31876076453
"Control",41.2,NA,6,472.886318335779,855.205339945552,1534.59939931068
"Control",41.3,NA,6,473.260612164979,854.783702594535,1532.18943136355
"Control",41.4,NA,6,473.635979461246,854.318053650965,1530.02977956233
"Control",41.5,NA,6,473.578253092321,853.734364908723,1527.50939595895
"Control",41.6,NA,6,473.903858218231,853.212776113595,1525.41668746968
"Control",41.7,NA,6,474.230237072276,852.773754483961,1522.79538079234
"Control",41.8,NA,6,474.435651208107,852.283513293665,1520.41512769602
"Control",41.9,NA,6,474.680379715621,851.70028811613,1517.28440070271
"Control",42,NA,6,474.839243913622,851.176170096684,1514.97190571811
"Control",42.1,NA,6,475.053581488824,850.689768063587,1511.96817954017
"Control",42.2,NA,6,475.31096645408,850.154096552739,1509.31196360333
"Control",42.3,NA,6,475.583074414366,849.626664468309,1506.89141040791
"Control",42.4,NA,6,475.823534014011,849.135801184411,1504.32873539692
"Control",42.5,NA,6,476.140565635219,848.58481011566,1501.65790759551
"Control",42.6,NA,6,476.335064871747,848.124559896958,1498.75250186183
"Control",42.7,NA,6,476.599686533904,847.649821303267,1495.69945166909
"Control",42.8,NA,6,476.91692994502,847.15050958086,1493.56534430076
"Control",42.9,NA,6,477.10509284994,846.608277008802,1491.16291469612
"Control",43,NA,6,477.238230531314,845.988618706493,1489.04104648549
"Control",43.1,NA,6,477.553670754858,845.46358480511,1486.48753959131
"Control",43.2,NA,6,477.769348684451,845.006022042275,1483.70617290399
"Control",43.3,NA,6,478.130033734447,844.57273165816,1481.44739756655
"Control",43.4,NA,6,478.433860668131,844.086633304746,1479.60100315212
"Control",43.5,NA,6,478.71920636251,843.618592338425,1477.54914077297
"Control",43.6,NA,6,478.901244514853,843.18186810166,1474.25951372905
"Control",43.7,NA,6,479.156583026544,842.666947669397,1471.57673042648
"Control",43.8,NA,6,479.340374366364,842.178380435241,1468.7558814482
"Control",43.9,NA,6,479.492355345747,841.742258502591,1465.93896867979
"Control",44,NA,6,479.802870537335,841.32596396386,1463.55127220463
"Control",44.1,NA,6,480.038925121767,840.864045713532,1460.89011163887
"Control",44.2,NA,6,480.232196203281,840.366598956479,1458.680481408
"Control",44.3,NA,6,480.459936640754,839.821439712393,1456.0022018217
"Control",44.4,NA,6,480.917762141593,839.233138061328,1453.6264791983
"Control",44.5,NA,6,481.114844794446,838.73009331976,1451.68471989689
"Control",44.6,NA,6,481.26887673484,838.372632958493,1449.41618129687
"Control",44.7,NA,6,481.533921564176,837.887069633462,1447.39546466971
"Control",44.8,NA,6,481.915109195628,837.435576746927,1445.25322239936
"Control",44.9,NA,6,482.242341894294,836.970777504187,1442.82233260712
"Control",45,NA,6,482.475313248337,836.507902934814,1440.29522830755
"Control",45.1,NA,6,482.722111866676,835.936347359604,1437.88074139184
"Control",45.2,NA,6,482.762415957574,835.493924948992,1435.30565422596
