"Treatment.Act","BA","Recovery","low","med","high"
"Control",40,NA,13.2244749830826,14.196144055314,15.1726401462076
"Control",40.1,NA,13.2264698777551,14.196527216235,15.1709945784344
"Control",40.2,NA,13.2278428192238,14.1970083759007,15.1697931064027
"Control",40.3,NA,13.2294010735672,14.1974117714874,15.1683857006888
"Control",40.4,NA,13.2314069793865,14.1979646384005,15.1671409117167
"Control",40.5,NA,13.2328762297023,14.1986580357781,15.1661211126581
"Control",40.6,NA,13.2345741910221,14.1991399190051,15.1646888925311
"Control",40.7,NA,13.2364211538198,14.1996829841786,15.1633823839716
"Control",40.8,NA,13.2377738360453,14.2001224696396,15.1619540414585
"Control",40.9,NA,13.2399647252112,14.2006033829688,15.1609086377577
"Control",41,NA,13.2422925867023,14.2006966962016,15.1594173005909
"Control",41.1,NA,13.2446206779942,14.2012097023013,15.1581082268446
"Control",41.2,NA,13.2466187056262,14.2018578010975,15.1565438391631
"Control",41.3,NA,13.2479591868814,14.2022839356144,15.1553750805733
"Control",41.4,NA,13.2504696525331,14.2026697897069,15.1536894634323
"Control",41.5,NA,13.2523418735128,14.2030865712052,15.1519514795687
"Control",41.6,NA,13.2546528115708,14.2035004160768,15.1516524263457
"Control",41.7,NA,13.2573743773826,14.2040557861982,15.1502058379503
"Control",41.8,NA,13.259664802308,14.2044870406751,15.1493097345891
"Control",41.9,NA,13.26146850358,14.2049011688193,15.1480486367941
"Control",42,NA,13.2635718675613,14.2053168239213,15.1467794142835
"Control",42.1,NA,13.2657258395197,14.2059017777076,15.145219152218
"Control",42.2,NA,13.2678970486232,14.2061145368881,15.1437753446094
"Control",42.3,NA,13.270020887707,14.2062917154541,15.1429957045165
"Control",42.4,NA,13.272165792178,14.2069358997627,15.1417315587461
"Control",42.5,NA,13.2743776876287,14.2073579426798,15.1405709879842
"Control",42.6,NA,13.2769183486116,14.207978995241,15.1392066110064
"Control",42.7,NA,13.2788619704658,14.2082597367284,15.1377381608341
"Control",42.8,NA,13.28158537435,14.2089702589488,15.1358132903833
"Control",42.9,NA,13.282976236736,14.2093852526716,15.1347916951044
"Control",43,NA,13.2848452736434,14.2096960277487,15.1335023874202
"Control",43.1,NA,13.2871924210785,14.2100401480356,15.1321531270666
"Control",43.2,NA,13.2884411372724,14.2106392627573,15.1312002237183
"Control",43.3,NA,13.2906258899911,14.2113195734721,15.1293065462009
"Control",43.4,NA,13.2926333264234,14.2118844889123,15.1282672689056
"Control",43.5,NA,13.2950168898279,14.2122082069972,15.1267880514525
"Control",43.6,NA,13.2974156030432,14.2127588483053,15.1250653270799
"Control",43.7,NA,13.299464771981,14.2133620132412,15.1239348963209
"Control",43.8,NA,13.3011261841356,14.2136755256919,15.1227909893779
"Control",43.9,NA,13.3033565121745,14.2139959179169,15.1209116930764
"Control",44,NA,13.3049817885481,14.2145146127219,15.1195478098393
"Control",44.1,NA,13.3069427966449,14.2152751935208,15.1185121856909
"Control",44.2,NA,13.3084953565559,14.2156319853458,15.1174057543869
"Control",44.3,NA,13.310853469745,14.2161036304721,15.1166933028655
"Control",44.4,NA,13.311330335074,14.2164442279572,15.1153643434241
"Control",44.5,NA,13.3128703493617,14.2167023930325,15.1138402063097
"Control",44.6,NA,13.3146795909713,14.217200483494,15.1123497286993
"Control",44.7,NA,13.3164739927853,14.2176285564659,15.1110989842287
"Control",44.8,NA,13.3185764136128,14.2181262459219,15.109513365476
"Control",44.9,NA,13.3202884162571,14.2184108111718,15.1083603496759
"Control",45,NA,13.3222039561529,14.2188809586881,15.1073177858349
"Control",45.1,NA,13.3241843060081,14.2192675413835,15.1057566591096
"Control",45.2,NA,13.3265263250309,14.2195078243377,15.1040306741356
"Control",45.3,NA,13.3289506496054,14.2200417969694,15.1025104618967
"Control",45.4,NA,13.3315796273042,14.2202481081815,15.1017127113461
"Control",45.5,NA,13.3346532508493,14.2205499007141,15.1008283685964
"Control",45.6,NA,13.3361006536499,14.2209067989039,15.0994620113119
"Control",45.7,NA,13.3377608717733,14.2212052423136,15.0984000985499
"Control",45.8,NA,13.3400568367408,14.2215626995734,15.0969489494088
"Control",45.9,NA,13.3416711557371,14.2221511856107,15.0955468006617
"Control",46,NA,13.3433101876346,14.222544438876,15.0947395151555
"Control",46.1,NA,13.3454569003969,14.2227669512852,15.0937359240968
"Control",46.2,NA,13.3475829007541,14.2231225252498,15.0927078478304
"Control",46.3,NA,13.3493488070076,14.2236188252672,15.0919322899072
"Control",46.4,NA,13.3512434543833,14.2241982253961,15.090770357201
"Control",46.5,NA,13.3534319318746,14.224301191725,15.0897380702669
"Control",46.6,NA,13.3558069822622,14.2248394898101,15.0882422721146
"Control",46.7,NA,13.3581735210182,14.2254196376587,15.0874369520441
"Control",46.8,NA,13.3611191416174,14.2260117620193,15.0861405082852
"Control",46.9,NA,13.3633032154958,14.2264546728453,15.0848848621678
"Control",47,NA,13.3653098494681,14.2272438458421,15.0836292160505
"Control",47.1,NA,13.3676764876058,14.2278948808577,15.082519835305
"Control",47.2,NA,13.3694504052208,14.2281773794199,15.0820728450083
"Control",47.3,NA,13.3712447697974,14.2284720900735,15.0815295395023
"Control",47.4,NA,13.3728032753983,14.229058805027,15.0805456018269
"Control",47.5,NA,13.3747457335206,14.2294215620328,15.0796604857674
"Control",47.6,NA,13.3765956024975,14.2296726015987,15.0785118893411
"Control",47.7,NA,13.3790949480463,14.2299255908106,15.0770595630999
"Control",47.8,NA,13.3813837731774,14.2303165499877,15.0759409294632
"Control",47.9,NA,13.3834496919787,14.2307205977712,15.0747764564275
"Control",48,NA,13.3852431025913,14.2310564665689,15.0744406878678
"Control",48.1,NA,13.3866946223983,14.2315205970435,15.0735838603955
"Control",48.2,NA,13.3882939111851,14.2317757418744,15.0716476433085
"Control",48.3,NA,13.390551489976,14.2321402402537,15.0713815199209
"Control",48.4,NA,13.3922324242972,14.2327119162236,15.0697556050518
"Control",48.5,NA,13.3938984148859,14.2331852934576,15.0682917432147
"Control",48.6,NA,13.396845868615,14.2335812224529,15.0671550256517
"Control",48.7,NA,13.3984340552112,14.234139688013,15.0660958408784
"Control",48.8,NA,13.4002011387682,14.2345979333288,15.0655742004159
"Control",48.9,NA,13.4022163070157,14.2348037547906,15.0649798560555
"Control",49,NA,13.403043405094,14.2353019175045,15.0641495631387
"Control",49.1,NA,13.4054969341883,14.2359538609987,15.0633450312701
"Control",49.2,NA,13.4074971448183,14.2361018762742,15.0622500114996
"Control",49.3,NA,13.4099482177344,14.2367786394666,15.0604949868679
"Control",49.4,NA,13.4125258468424,14.2372811867371,15.0589620348685
"Control",49.5,NA,13.4143821856097,14.2376353956173,15.0581511733099
"Control",49.6,NA,13.4160751353305,14.2380369327851,15.056570574843
"Control",49.7,NA,13.4182922165723,14.23853194475,15.0560472464403
"Control",49.8,NA,13.4202433970193,14.2390293129819,15.0549957950856
"Control",49.9,NA,13.4224139856983,14.2396370870417,15.0540530521882
"Control",50,NA,13.4243357782913,14.239947318791,15.0529457432793
"Control",50.1,NA,13.4262848976779,14.2403265500688,15.0515774225105
"Control",50.2,NA,13.4280888256415,14.240737704731,15.05055398978
"Control",50.3,NA,13.4300261864916,14.2411894814571,15.0495884878786
"Control",50.4,NA,13.4317310887835,14.2415819336439,15.0485660223218
"Control",50.5,NA,13.4328856097448,14.241872514111,15.0475359427692
"Control",50.6,NA,13.4344057450612,14.2424088143583,15.0463483949563
"Control",50.7,NA,13.4368612133286,14.2428717122797,15.045854442748
"Control",50.8,NA,13.4387082205043,14.2432083568457,15.0448957637136
"Control",50.9,NA,13.4405257970223,14.24357492071,15.0441590286812
"Control",51,NA,13.4427060281827,14.2440158817599,15.0434642349567
"Control",51.1,NA,13.4445890768327,14.2443957796791,15.0426833733908
"Control",51.2,NA,13.446282168223,14.2446081425188,15.0413357193015
"Control",51.3,NA,13.4487179822516,14.2450263807377,15.0400404601239
"Control",51.4,NA,13.4503454571378,14.2456060488759,15.0387480240757
"Control",51.5,NA,13.4520473279421,14.2461790417888,15.0374085152382
"Control",51.6,NA,13.4538364774839,14.2466842636772,15.0360685468819
"Control",51.7,NA,13.4561988007598,14.2473882982293,15.035131262348
"Control",51.8,NA,13.4579351659886,14.2482218021768,15.0344880546684
"Control",51.9,NA,13.459608094877,14.248895360159,15.0348771129835
"Control",52,NA,13.460634613305,14.2492026965163,15.0328628946348
"Control",52.1,NA,13.4628161867856,14.2497373484163,15.0314081499756
"Control",52.2,NA,13.4649378985806,14.2503853038918,15.0303224496144
"Control",52.3,NA,13.4674055544067,14.2508607671067,15.0293627301945
"Control",52.4,NA,13.4689461258805,14.2510971264672,15.0277744892645
