"b0","b_yravg","b_ba","b_fire","b_fire_ba","b_herb","b_herb_ba","b_herb_fire","b_fire_recov","b_herb_recov","Treatment.Act","BA","Recovery","low","med","high"
1,1,-1.61295258036152,0,0,0,0,0,0,0,"Control",40,NA,0.431018659945781,0.493896778339623,0.569162890479441
1,1,-1.60808668330391,0,0,0,0,0,0,0,"Control",40.1,NA,0.431051801171889,0.493797238887059,0.568891511885884
1,1,-1.60322078624631,0,0,0,0,0,0,0,"Control",40.2,NA,0.43105008154835,0.493715388299905,0.568657815518642
1,1,-1.59835488918871,0,0,0,0,0,0,0,"Control",40.3,NA,0.431080848247654,0.493638694867659,0.568395963651285
1,1,-1.59348899213111,0,0,0,0,0,0,0,"Control",40.4,NA,0.431138034161322,0.49355323121597,0.56815495928673
1,1,-1.58862309507351,0,0,0,0,0,0,0,"Control",40.5,NA,0.431164098788413,0.49347249116593,0.567928075171596
1,1,-1.5837571980159,0,0,0,0,0,0,0,"Control",40.6,NA,0.43119473669729,0.493369253826049,0.567642888883533
1,1,-1.5788913009583,0,0,0,0,0,0,0,"Control",40.7,NA,0.431220439011822,0.493283326849264,0.567371887637235
1,1,-1.5740254039007,0,0,0,0,0,0,0,"Control",40.8,NA,0.431240191221482,0.493193607913659,0.567132173141643
1,1,-1.5691595068431,0,0,0,0,0,0,0,"Control",40.9,NA,0.43127407540761,0.493104329122231,0.566880904638114
1,1,-1.56429360978549,0,0,0,0,0,0,0,"Control",41,NA,0.431282043923876,0.493018232649505,0.566641707808226
1,1,-1.55942771272789,0,0,0,0,0,0,0,"Control",41.1,NA,0.431285371529498,0.49292133915368,0.566399865943514
1,1,-1.55456181567029,0,0,0,0,0,0,0,"Control",41.2,NA,0.431304491548776,0.492857556057323,0.566134088651178
1,1,-1.54969591861269,0,0,0,0,0,0,0,"Control",41.3,NA,0.431301483074875,0.49276488441526,0.565879603161218
1,1,-1.54483002155509,0,0,0,0,0,0,0,"Control",41.4,NA,0.431320908047647,0.492674380186756,0.565597981376962
1,1,-1.53996412449748,0,0,0,0,0,0,0,"Control",41.5,NA,0.431348875269747,0.492583382044605,0.565325188017233
1,1,-1.53509822743988,0,0,0,0,0,0,0,"Control",41.6,NA,0.431397896581604,0.492499496927922,0.565053965767083
1,1,-1.53023233038228,0,0,0,0,0,0,0,"Control",41.7,NA,0.431385892913376,0.492409774998667,0.564792029936821
1,1,-1.52536643332468,0,0,0,0,0,0,0,"Control",41.8,NA,0.431392926145839,0.492324455459479,0.564514862736574
1,1,-1.52050053626707,0,0,0,0,0,0,0,"Control",41.9,NA,0.431407647911435,0.492235633331544,0.564244463415222
1,1,-1.51563463920947,0,0,0,0,0,0,0,"Control",42,NA,0.431446436729109,0.492153481963158,0.564000447916555
1,1,-1.51076874215187,0,0,0,0,0,0,0,"Control",42.1,NA,0.431451876036737,0.492075374505591,0.563788543191083
1,1,-1.50590284509427,0,0,0,0,0,0,0,"Control",42.2,NA,0.431502337490898,0.491987280573462,0.563499775009731
1,1,-1.50103694803667,0,0,0,0,0,0,0,"Control",42.3,NA,0.431543067757542,0.491889600108374,0.563207105387632
1,1,-1.49617105097906,0,0,0,0,0,0,0,"Control",42.4,NA,0.431580504646849,0.49179153733887,0.562952290432803
1,1,-1.49130515392146,0,0,0,0,0,0,0,"Control",42.5,NA,0.431629400337429,0.491681536272454,0.562803612664704
1,1,-1.48643925686386,0,0,0,0,0,0,0,"Control",42.6,NA,0.431617421168632,0.4915866923862,0.56260347337711
1,1,-1.48157335980626,0,0,0,0,0,0,0,"Control",42.7,NA,0.431605449718823,0.491495399206907,0.56233938173851
1,1,-1.47670746274865,0,0,0,0,0,0,0,"Control",42.8,NA,0.431612505528338,0.491401711164002,0.562082988557342
1,1,-1.47184156569105,0,0,0,0,0,0,0,"Control",42.9,NA,0.431620046438359,0.491318001060374,0.56182855225431
1,1,-1.46697566863345,0,0,0,0,0,0,0,"Control",43,NA,0.431628221785124,0.491218268239328,0.5616426923317
1,1,-1.46210977157585,0,0,0,0,0,0,0,"Control",43.1,NA,0.4316654859077,0.491116534484716,0.561412280946022
1,1,-1.45724387451824,0,0,0,0,0,0,0,"Control",43.2,NA,0.431670986189195,0.491023034098274,0.561150849211964
1,1,-1.45237797746064,0,0,0,0,0,0,0,"Control",43.3,NA,0.431707099787476,0.490951504123087,0.560889626809886
1,1,-1.44751208040304,0,0,0,0,0,0,0,"Control",43.4,NA,0.431748370592634,0.490857506334419,0.560596335985416
1,1,-1.44264618334544,0,0,0,0,0,0,0,"Control",43.5,NA,0.431769158557207,0.490769218696026,0.560350787548131
1,1,-1.43778028628784,0,0,0,0,0,0,0,"Control",43.6,NA,0.43181871849743,0.49066682594578,0.56007839425515
1,1,-1.43291438923023,0,0,0,0,0,0,0,"Control",43.7,NA,0.431868306351481,0.490571861632183,0.559856747613879
1,1,-1.42804849217263,0,0,0,0,0,0,0,"Control",43.8,NA,0.431935026777399,0.49047838956901,0.559619878352849
